episode,reward,score,length,epsilon,td_error,timestamp
244,-6.2223,0,50,0.294328,0.000418,2026-05-27T15:25:41.715228
245,-6.2594,0,50,0.292856,0.000424,2026-05-27T15:25:42.103048
246,-6.1637,0,50,0.291392,0.000378,2026-05-27T15:25:42.490194
247,-6.2320,0,50,0.289935,0.000447,2026-05-27T15:25:42.877183
248,-6.2457,0,50,0.288486,0.000367,2026-05-27T15:25:43.264623
249,-6.2047,0,50,0.287043,0.000405,2026-05-27T15:25:43.708591
250,-6.1754,0,50,0.285608,0.001885,2026-05-27T15:25:44.098679
251,-6.2203,0,50,0.284180,0.015153,2026-05-27T15:25:44.492279
252,-6.2457,0,50,0.282759,0.000778,2026-05-27T15:25:44.883605
253,-6.2594,0,50,0.281345,0.000757,2026-05-27T15:25:45.271073
254,-6.1949,0,50,0.279938,0.000686,2026-05-27T15:25:45.661044
255,-6.2242,0,50,0.278539,0.000484,2026-05-27T15:25:46.072553
256,-6.2047,0,50,0.277146,0.000670,2026-05-27T15:25:46.467804
257,-6.2203,0,50,0.275760,0.000564,2026-05-27T15:25:46.858720
258,-6.1637,0,50,0.274382,0.000639,2026-05-27T15:25:47.248028
259,-6.2125,0,50,0.273010,0.000572,2026-05-27T15:25:47.635561
260,-6.2027,0,50,0.271645,0.000815,2026-05-27T15:25:48.022055
261,-6.1910,0,50,0.270286,0.000623,2026-05-27T15:25:48.408670
262,-6.2320,0,50,0.268935,0.000692,2026-05-27T15:25:48.796758
263,-6.1754,0,50,0.267590,0.000687,2026-05-27T15:25:49.183351
264,-6.2594,0,50,0.266252,0.000721,2026-05-27T15:25:49.576054
265,-6.2008,0,50,0.264921,0.000556,2026-05-27T15:25:50.014842
266,-6.1871,0,50,0.263596,0.000651,2026-05-27T15:25:50.405455
267,-6.2594,0,50,0.262278,0.000736,2026-05-27T15:25:50.796245
268,-6.2320,0,50,0.260967,0.000638,2026-05-27T15:25:51.206335
269,-6.2594,0,50,0.259662,0.000640,2026-05-27T15:25:51.600436
270,-6.1832,0,50,0.258364,0.001754,2026-05-27T15:25:51.989800
271,-6.2047,0,50,0.257072,0.025451,2026-05-27T15:25:52.528403
272,-6.1930,0,50,0.255787,0.002278,2026-05-27T15:25:52.923488
273,-6.2457,0,50,0.254508,0.001486,2026-05-27T15:25:53.312152
274,-6.2281,0,50,0.253235,0.001492,2026-05-27T15:25:53.699734
275,-6.2516,0,50,0.251969,0.001399,2026-05-27T15:25:54.108484
276,-6.2047,0,50,0.250709,0.001352,2026-05-27T15:25:54.530230
277,-6.2242,0,50,0.249456,0.001371,2026-05-27T15:25:54.952538
278,-6.2105,0,50,0.248208,0.001052,2026-05-27T15:25:55.342613
279,-6.2594,0,50,0.246967,0.001435,2026-05-27T15:25:55.761628
280,-6.2457,0,50,0.245733,0.001107,2026-05-27T15:25:56.160103
281,-6.2008,0,50,0.244504,0.001510,2026-05-27T15:25:56.652789
282,-6.2320,0,50,0.243281,0.001356,2026-05-27T15:25:57.073777
283,-6.1773,0,50,0.242065,0.001450,2026-05-27T15:25:57.461904
284,-6.1754,0,50,0.240855,0.001362,2026-05-27T15:25:57.849146
285,-6.1891,0,50,0.239650,0.001628,2026-05-27T15:25:58.243013
286,-6.2594,0,50,0.238452,0.001516,2026-05-27T15:25:58.654980
287,-6.2594,0,50,0.237260,0.001373,2026-05-27T15:25:59.072020
288,-6.2047,0,50,0.236074,0.001573,2026-05-27T15:25:59.461128
289,-6.2457,0,50,0.234893,0.001431,2026-05-27T15:25:59.873856
290,-6.1910,0,50,0.233719,0.006941,2026-05-27T15:26:00.266108
291,-6.2457,0,50,0.232550,0.028257,2026-05-27T15:26:00.691492
292,-6.1969,0,50,0.231387,0.017746,2026-05-27T15:26:01.105954
293,-6.1891,0,50,0.230230,0.016057,2026-05-27T15:26:01.503726
294,-6.2320,0,50,0.229079,0.015742,2026-05-27T15:26:01.897358
295,-6.2223,0,50,0.227934,0.015295,2026-05-27T15:26:02.405534
296,-6.2203,0,50,0.226794,0.013631,2026-05-27T15:26:02.803722
297,-6.2184,0,50,0.225660,0.017676,2026-05-27T15:26:03.233898
298,-6.2145,0,50,0.224532,0.015453,2026-05-27T15:26:03.623613
299,-6.2281,0,50,0.223409,0.015817,2026-05-27T15:26:04.030458
300,-6.2066,0,50,0.222292,0.015841,2026-05-27T15:26:04.420896
301,-6.2594,0,50,0.221181,0.012255,2026-05-27T15:26:04.818915
302,-6.1773,0,50,0.220075,0.022987,2026-05-27T15:26:05.208975
303,-6.1754,0,50,0.218974,0.017624,2026-05-27T15:26:05.596623
304,-6.2457,0,50,0.217880,0.019132,2026-05-27T15:26:05.986994
305,-6.2438,0,50,0.216790,0.016832,2026-05-27T15:26:06.375592
306,-6.2320,0,50,0.215706,0.014637,2026-05-27T15:26:06.762762
307,-6.2320,0,50,0.214628,0.014679,2026-05-27T15:26:07.151054
308,-6.1754,0,50,0.213555,0.015763,2026-05-27T15:26:07.539007
309,-6.2320,0,50,0.212487,0.017500,2026-05-27T15:26:07.925835
310,-6.2047,0,50,0.211424,0.022119,2026-05-27T15:26:08.323457
311,-6.2379,0,50,0.210367,0.077268,2026-05-27T15:26:08.720452
312,-6.2320,0,50,0.209315,0.061972,2026-05-27T15:26:09.110574
313,-6.2184,0,50,0.208269,0.064618,2026-05-27T15:26:09.503943
314,-6.2320,0,50,0.207227,0.072308,2026-05-27T15:26:09.905993
315,-6.2594,0,50,0.206191,0.061325,2026-05-27T15:26:10.298669
316,-6.2320,0,50,0.205160,0.055505,2026-05-27T15:26:10.692964
317,-6.2203,0,50,0.204135,0.072235,2026-05-27T15:26:11.083198
318,-6.2320,0,50,0.203114,0.074110,2026-05-27T15:26:11.472472
319,-6.2594,0,50,0.202098,0.057057,2026-05-27T15:26:11.863967
320,-6.1910,0,50,0.201088,0.055056,2026-05-27T15:26:12.512992
321,-6.2457,0,50,0.200082,0.069531,2026-05-27T15:26:12.923384
322,-6.2379,0,50,0.199082,0.070326,2026-05-27T15:26:13.319886
323,-6.2184,0,50,0.198087,0.077289,2026-05-27T15:26:13.708456
324,-6.1891,0,50,0.197096,0.056576,2026-05-27T15:26:14.116659
325,-6.2457,0,50,0.196111,0.072558,2026-05-27T15:26:14.510814
326,-6.2184,0,50,0.195130,0.070647,2026-05-27T15:26:14.925859
327,-6.2066,0,50,0.194154,0.085448,2026-05-27T15:26:15.321366
328,-6.2320,0,50,0.193184,0.058602,2026-05-27T15:26:15.728171
329,-6.1832,0,50,0.192218,0.055334,2026-05-27T15:26:16.135996
330,-6.2594,0,50,0.191257,0.058950,2026-05-27T15:26:16.537767
331,-6.2320,0,50,0.190300,0.098667,2026-05-27T15:26:16.928480
332,-6.2105,0,50,0.189349,0.103353,2026-05-27T15:26:17.316745
333,-6.2457,0,50,0.188402,0.077948,2026-05-27T15:26:17.704597
334,-6.2301,0,50,0.187460,0.114947,2026-05-27T15:26:18.094109
335,-6.2457,0,50,0.186523,0.113524,2026-05-27T15:26:18.483861
336,-6.2145,0,50,0.185590,0.108015,2026-05-27T15:26:18.872016
337,-6.1813,0,50,0.184662,0.072525,2026-05-27T15:26:19.260672
338,-6.2242,0,50,0.183739,0.097653,2026-05-27T15:26:19.651441
339,-6.2379,0,50,0.182820,0.094933,2026-05-27T15:26:20.040486
340,-6.2027,0,50,0.181906,0.104488,2026-05-27T15:26:20.426255
341,-6.2047,0,50,0.180997,0.105887,2026-05-27T15:26:20.810690
342,-6.2184,0,50,0.180092,0.108978,2026-05-27T15:26:21.202002
343,-6.2047,0,50,0.179191,0.097881,2026-05-27T15:26:21.592060
344,-6.1637,0,50,0.178295,0.128062,2026-05-27T15:26:21.982136
345,-6.2594,0,50,0.177404,0.122625,2026-05-27T15:26:22.370765
346,-6.2320,0,50,0.176517,0.102971,2026-05-27T15:26:22.759940
347,-6.2086,0,50,0.175634,0.111286,2026-05-27T15:26:23.156591
348,-6.2594,0,50,0.174756,0.132552,2026-05-27T15:26:23.561206
349,-6.2301,0,50,0.173882,0.098002,2026-05-27T15:26:23.968022
350,-6.1891,0,50,0.173013,0.122544,2026-05-27T15:26:24.361511
351,-6.2594,0,50,0.172148,0.151892,2026-05-27T15:26:24.760000
352,-6.2594,0,50,0.171287,0.125307,2026-05-27T15:26:25.157101
353,-6.1949,0,50,0.170431,0.115049,2026-05-27T15:26:25.562827
354,-6.1754,0,50,0.169578,0.140113,2026-05-27T15:26:25.955379
355,-6.2594,0,50,0.168731,0.134461,2026-05-27T15:26:26.354499
356,-6.1988,0,50,0.167887,0.156307,2026-05-27T15:26:26.754937
357,-6.2086,0,50,0.167047,0.161827,2026-05-27T15:26:27.148442
358,-6.2047,0,50,0.166212,0.179437,2026-05-27T15:26:27.547493
359,-6.1754,0,50,0.165381,0.141538,2026-05-27T15:26:27.937738
360,-6.2008,0,50,0.164554,0.149760,2026-05-27T15:26:28.351661
361,-6.2145,0,50,0.163731,0.161774,2026-05-27T15:26:28.791983
362,-6.2184,0,50,0.162913,0.145974,2026-05-27T15:26:29.181573
363,-6.2594,0,50,0.162098,0.146291,2026-05-27T15:26:29.591876
364,-6.1832,0,50,0.161288,0.156782,2026-05-27T15:26:29.998771
365,-6.2457,0,50,0.160481,0.156365,2026-05-27T15:26:30.396858
